"","region","long","lat","group","order","subregion","location","hits","keyword","geo","gprop"
"1","alabama",-87.4620056152344,30.3896808624268,1,1,NA,"Alabama",51,"violent crime","US","web"
"2","alabama",-87.4849319458008,30.3724918365479,1,2,NA,"Alabama",51,"violent crime","US","web"
"3","alabama",-87.525032043457,30.3724918365479,1,3,NA,"Alabama",51,"violent crime","US","web"
"4","alabama",-87.53076171875,30.3323860168457,1,4,NA,"Alabama",51,"violent crime","US","web"
"5","alabama",-87.5708694458008,30.3266544342041,1,5,NA,"Alabama",51,"violent crime","US","web"
"6","alabama",-87.5880584716797,30.3266544342041,1,6,NA,"Alabama",51,"violent crime","US","web"
"7","alabama",-87.5937881469727,30.3094673156738,1,7,NA,"Alabama",51,"violent crime","US","web"
"8","alabama",-87.5937881469727,30.286548614502,1,8,NA,"Alabama",51,"violent crime","US","web"
"9","alabama",-87.6740036010742,30.275089263916,1,9,NA,"Alabama",51,"violent crime","US","web"
"10","alabama",-87.8115158081055,30.2579021453857,1,10,NA,"Alabama",51,"violent crime","US","web"
"11","alabama",-87.8802642822266,30.2464408874512,1,11,NA,"Alabama",51,"violent crime","US","web"
"12","alabama",-87.9203720092773,30.2464408874512,1,12,NA,"Alabama",51,"violent crime","US","web"
"13","alabama",-87.9547500610352,30.2464408874512,1,13,NA,"Alabama",51,"violent crime","US","web"
"14","alabama",-88.0063171386719,30.2407131195068,1,14,NA,"Alabama",51,"violent crime","US","web"
"15","alabama",-88.0177764892578,30.2521705627441,1,15,NA,"Alabama",51,"violent crime","US","web"
"16","alabama",-88.0120468139648,30.269359588623,1,16,NA,"Alabama",51,"violent crime","US","web"
"17","alabama",-87.9948577880859,30.275089263916,1,17,NA,"Alabama",51,"violent crime","US","web"
"18","alabama",-87.9547500610352,30.275089263916,1,18,NA,"Alabama",51,"violent crime","US","web"
"19","alabama",-87.9031829833984,30.2808208465576,1,19,NA,"Alabama",51,"violent crime","US","web"
"20","alabama",-87.8286972045898,30.286548614502,1,20,NA,"Alabama",51,"violent crime","US","web"
"21","alabama",-87.8000564575195,30.286548614502,1,21,NA,"Alabama",51,"violent crime","US","web"
"22","alabama",-87.8000564575195,30.3266544342041,1,22,NA,"Alabama",51,"violent crime","US","web"
"23","alabama",-87.8172378540039,30.3438453674316,1,23,NA,"Alabama",51,"violent crime","US","web"
"24","alabama",-87.8401565551758,30.3839530944824,1,24,NA,"Alabama",51,"violent crime","US","web"
"25","alabama",-87.8516235351562,30.4011421203613,1,25,NA,"Alabama",51,"violent crime","US","web"
"26","alabama",-87.8745346069336,30.4125995635986,1,26,NA,"Alabama",51,"violent crime","US","web"
"27","alabama",-87.9031829833984,30.4240608215332,1,27,NA,"Alabama",51,"violent crime","US","web"
"28","alabama",-87.9261016845703,30.4469795227051,1,28,NA,"Alabama",51,"violent crime","US","web"
"29","alabama",-87.9318313598633,30.4928131103516,1,29,NA,"Alabama",51,"violent crime","US","web"
"30","alabama",-87.9432907104492,30.527193069458,1,30,NA,"Alabama",51,"violent crime","US","web"
"31","alabama",-87.9203720092773,30.5615692138672,1,31,NA,"Alabama",51,"violent crime","US","web"
"32","alabama",-87.9146423339844,30.5844879150391,1,32,NA,"Alabama",51,"violent crime","US","web"
"33","alabama",-87.9261016845703,30.6188640594482,1,33,NA,"Alabama",51,"violent crime","US","web"
"34","alabama",-87.9203720092773,30.670431137085,1,34,NA,"Alabama",51,"violent crime","US","web"
"35","alabama",-87.9490203857422,30.6990776062012,1,35,NA,"Alabama",51,"violent crime","US","web"
"36","alabama",-87.989128112793,30.7907524108887,1,36,NA,"Alabama",51,"violent crime","US","web"
"37","alabama",-88.0063171386719,30.7964820861816,1,37,NA,"Alabama",51,"violent crime","US","web"
"38","alabama",-88.0177764892578,30.802209854126,1,38,NA,"Alabama",51,"violent crime","US","web"
"39","alabama",-88.0349655151367,30.7907524108887,1,39,NA,"Alabama",51,"violent crime","US","web"
"40","alabama",-88.0464248657227,30.7563762664795,1,40,NA,"Alabama",51,"violent crime","US","web"
"41","alabama",-88.0521545410156,30.727725982666,1,41,NA,"Alabama",51,"violent crime","US","web"
"42","alabama",-88.0521545410156,30.7105388641357,1,42,NA,"Alabama",51,"violent crime","US","web"
"43","alabama",-88.063606262207,30.6876201629639,1,43,NA,"Alabama",51,"violent crime","US","web"
"44","alabama",-88.0693435668945,30.6818885803223,1,44,NA,"Alabama",51,"violent crime","US","web"
"45","alabama",-88.0808029174805,30.6303253173828,1,45,NA,"Alabama",51,"violent crime","US","web"
"46","alabama",-88.0808029174805,30.6131362915039,1,46,NA,"Alabama",51,"violent crime","US","web"
"47","alabama",-88.0979919433594,30.6074066162109,1,47,NA,"Alabama",51,"violent crime","US","web"
"48","alabama",-88.1094436645508,30.5959453582764,1,48,NA,"Alabama",51,"violent crime","US","web"
"49","alabama",-88.1151809692383,30.5844879150391,1,49,NA,"Alabama",51,"violent crime","US","web"
"50","alabama",-88.1094436645508,30.5558376312256,1,50,NA,"Alabama",51,"violent crime","US","web"
"51","alabama",-88.1209106445312,30.4813556671143,1,51,NA,"Alabama",51,"violent crime","US","web"
"52","alabama",-88.1209106445312,30.4412479400635,1,52,NA,"Alabama",51,"violent crime","US","web"
"53","alabama",-88.1266403198242,30.3896808624268,1,53,NA,"Alabama",51,"violent crime","US","web"
"54","alabama",-88.1323699951172,30.3610343933105,1,54,NA,"Alabama",51,"violent crime","US","web"
"55","alabama",-88.1438293457031,30.3438453674316,1,55,NA,"Alabama",51,"violent crime","US","web"
"56","alabama",-88.161018371582,30.3381156921387,1,56,NA,"Alabama",51,"violent crime","US","web"
"57","alabama",-88.172477722168,30.3381156921387,1,57,NA,"Alabama",51,"violent crime","US","web"
"58","alabama",-88.1896591186523,30.3553047180176,1,58,NA,"Alabama",51,"violent crime","US","web"
"59","alabama",-88.2240447998047,30.3782234191895,1,59,NA,"Alabama",51,"violent crime","US","web"
"60","alabama",-88.2354965209961,30.3954105377197,1,60,NA,"Alabama",51,"violent crime","US","web"
"61","alabama",-88.2870635986328,30.4011421203613,1,61,NA,"Alabama",51,"violent crime","US","web"
"62","alabama",-88.3157119750977,30.4011421203613,1,62,NA,"Alabama",51,"violent crime","US","web"
"63","alabama",-88.3329010009766,30.4011421203613,1,63,NA,"Alabama",51,"violent crime","US","web"
"64","alabama",-88.35009765625,30.4240608215332,1,64,NA,"Alabama",51,"violent crime","US","web"
"65","alabama",-88.3902053833008,30.4125995635986,1,65,NA,"Alabama",51,"violent crime","US","web"
"66","alabama",-88.4073867797852,30.7334575653076,1,66,NA,"Alabama",51,"violent crime","US","web"
"67","alabama",-88.4188461303711,30.9970169067383,1,67,NA,"Alabama",51,"violent crime","US","web"
"68","alabama",-88.430305480957,31.123067855835,1,68,NA,"Alabama",51,"violent crime","US","web"
"69","alabama",-88.4532241821289,31.432466506958,1,69,NA,"Alabama",51,"violent crime","US","web"
"70","alabama",-88.4646835327148,31.6960258483887,1,70,NA,"Alabama",51,"violent crime","US","web"
"71","alabama",-88.4761428833008,31.8908290863037,1,71,NA,"Alabama",51,"violent crime","US","web"
"72","alabama",-88.430305480957,32.22314453125,1,72,NA,"Alabama",51,"violent crime","US","web"
"73","alabama",-88.430305480957,32.3090896606445,1,73,NA,"Alabama",51,"violent crime","US","web"
"74","alabama",-88.3902053833008,32.5783805847168,1,74,NA,"Alabama",51,"violent crime","US","web"
"75","alabama",-88.35009765625,32.9221534729004,1,75,NA,"Alabama",51,"violent crime","US","web"
"76","alabama",-88.3386306762695,32.985179901123,1,76,NA,"Alabama",51,"violent crime","US","web"
"77","alabama",-88.2985305786133,33.2831192016602,1,77,NA,"Alabama",51,"violent crime","US","web"
"78","alabama",-88.2756042480469,33.5294914245605,1,78,NA,"Alabama",51,"violent crime","US","web"
"79","alabama",-88.2526931762695,33.7357559204102,1,79,NA,"Alabama",51,"violent crime","US","web"
"80","alabama",-88.2068557739258,34.0623397827148,1,80,NA,"Alabama",51,"violent crime","US","web"
"81","alabama",-88.2068557739258,34.0795288085938,1,81,NA,"Alabama",51,"violent crime","US","web"
"82","alabama",-88.1839370727539,34.3144416809082,1,82,NA,"Alabama",51,"violent crime","US","web"
"83","alabama",-88.166748046875,34.4634094238281,1,83,NA,"Alabama",51,"violent crime","US","web"
"84","alabama",-88.1495513916016,34.5837326049805,1,84,NA,"Alabama",51,"violent crime","US","web"
"85","alabama",-88.1094436645508,34.8988571166992,1,85,NA,"Alabama",51,"violent crime","US","web"
"86","alabama",-88.1323699951172,34.9045906066895,1,86,NA,"Alabama",51,"violent crime","US","web"
"87","alabama",-88.166748046875,34.9504280090332,1,87,NA,"Alabama",51,"violent crime","US","web"
"88","alabama",-88.1896591186523,34.996265411377,1,88,NA,"Alabama",51,"violent crime","US","web"
"89","alabama",-88.1839370727539,35.0134506225586,1,89,NA,"Alabama",51,"violent crime","US","web"
"90","alabama",-87.989128112793,35.0134506225586,1,90,NA,"Alabama",51,"violent crime","US","web"
"91","alabama",-87.6052474975586,35.0077209472656,1,91,NA,"Alabama",51,"violent crime","US","web"
"92","alabama",-87.2270965576172,35.0019912719727,1,92,NA,"Alabama",51,"violent crime","US","web"
"93","alabama",-87.2041702270508,35.0019912719727,1,93,NA,"Alabama",51,"violent crime","US","web"
"94","alabama",-86.8260269165039,34.996265411377,1,94,NA,"Alabama",51,"violent crime","US","web"
"95","alabama",-86.7801895141602,34.9905319213867,1,95,NA,"Alabama",51,"violent crime","US","web"
"96","alabama",-86.3103637695312,34.9905319213867,1,96,NA,"Alabama",51,"violent crime","US","web"
